Airline,month,day ,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Dgree,Duration(Minutes),day_number,Price_USD
IndiGo,3,24,Banglore,New Delhi,22:20,01:10,0.0,Economy,170,6,44.793103448275865
Air India,5,1,Kolkata,Banglore,05:50,13:15,2.0,Business,445,2,88.06896551724138
Jet Airways,6,9,Delhi,Cochin,09:25,04:25,2.0,Business,1140,6,159.5632183908046
IndiGo,5,12,Kolkata,Banglore,18:05,23:30,1.0,Economy,325,6,71.47126436781609
IndiGo,3,1,Banglore,New Delhi,16:50,21:35,1.0,Business,285,4,152.89655172413794
SpiceJet,6,24,Kolkata,Banglore,09:00,11:25,0.0,Economy,145,0,44.51724137931034
Jet Airways,3,12,Banglore,New Delhi,18:55,10:25,1.0,Business,930,1,127.4367816091954
Jet Airways,3,1,Banglore,New Delhi,08:00,05:05,1.0,First Class,1265,4,255.97701149425288
Jet Airways,3,12,Banglore,New Delhi,08:55,10:25,1.0,Business,1530,1,127.4367816091954
Multiple carriers,5,27,Delhi,Cochin,11:25,19:15,1.0,Business,470,0,99.13793103448276
Air India,6,1,Delhi,Cochin,09:45,23:00,1.0,Business,795,5,102.3793103448276
IndiGo,4,18,Kolkata,Banglore,20:20,22:55,0.0,Economy,155,3,47.97701149425287
Air India,6,24,Chennai,Kolkata,11:40,13:55,0.0,Economy,135,0,53.64367816091954
Jet Airways,5,9,Kolkata,Banglore,21:10,09:20,1.0,Business,730,3,111.06896551724138
IndiGo,4,24,Kolkata,Banglore,17:15,19:50,0.0,Economy,155,2,55.2183908045977
Air India,3,3,Delhi,Cochin,16:40,19:15,2.0,Business,1595,6,161.04597701149424
SpiceJet,4,15,Delhi,Cochin,08:45,13:15,1.0,Economy,270,0,67.01149425287356
Jet Airways,6,12,Delhi,Cochin,14:00,12:35,1.0,Business,1355,2,117.95402298850574
Air India,6,12,Delhi,Cochin,20:15,19:15,2.0,Business,1380,2,153.80459770114942
Jet Airways,5,27,Delhi,Cochin,16:00,12:35,1.0,Business,1235,0,148.2528735632184
GoAir,3,6,Delhi,Cochin,14:10,19:20,1.0,Business,310,2,224.0804597701149
Air India,3,21,Banglore,New Delhi,22:00,13:20,1.0,Business,920,3,79.94252873563218
IndiGo,4,3,Banglore,Delhi,04:00,06:50,0.0,Economy,170,2,45.32183908045977
